hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
3149,VIJAY HOSPITAL,NARNAUL,Jaipur,Rajasthan,0,N,N,123001,21815,44020.04,29054.18,14965.86,34.00
367,PARK HOSPITAL (A UNIT OF PARK MEDICENTRES & INSTITUTIONS PVT LTD) - GURGAON,GURUGRAM,Delhi,Delhi,1,N,N,122002,65942,40624.21,33052.56,7571.66,18.64
1219,HEALING TOUCH SUPER SPECIALITY HOSPITAL,AMBALA,Ambala,Punjab,1,N,N,134003,42660,42656.49,36005.04,6651.45,15.59
1161,PARK HOSPITAL(UNIT OF KAILASH SUPERSPECIALITY HOSP,BEHROR,Jaipur,Rajasthan,1,N,N,301701,31557,15828.02,11160.03,4667.99,29.49
2856,VIRAT HOSPITAL,REWARI,Jaipur,Rajasthan,1,N,N,123401,20383,15264.54,10662.62,4601.91,30.15
1454,YATHARTH WELLNESS HOSPITAL & TRAUMA CENTRE,GREATER NOIDA,Delhi 2,Delhi,1,N,N,201308,101730,16762.95,12604.20,4158.75,24.81
1042,METRO HOSPITAL & HEART INSTITUTE - NOIDA,NOIDA,Delhi 2,Delhi,1,Y,Y,201301,32477,20589.09,16761.45,3827.63,18.59
514,PARK HOSPITAL (A UNIT OF UMKAL HEALTHCARE PVT LTD),GURUGRAM,Delhi,Delhi,1,Y,N,122017,33098,25503.08,21986.56,3516.52,13.79
2694,STAR HOSPITAL (A UNIT OF OM MEDICENTRE PVT LTD),BHIWADI,Jaipur,Rajasthan,1,N,N,301019,4759,9489.09,6515.07,2974.02,31.34
2766,THE SIGNATURE HOSPITAL (A UNIT OF PARK MEDICITY,GURUGRAM,Delhi,Delhi,1,N,N,122001,22800,20604.42,17802.34,2802.08,13.60
3980,PRATAP HOSPITAL,MAHENDERGARH,Jaipur,Rajasthan,,N,N,123029,5503,9379.01,6580.21,2798.80,29.84
292,Madhuraj Hospital (P) Ltd - Kanpur,Kanpur,Lucknow,Uttar Pradesh,1,N,N,208002,7846,7845.75,5067.08,2778.67,35.42
1373,PARK HOSPITAL - FARIDABAD,FARIDABAD,Delhi,Delhi,1,N,N,121004,11163,20936.89,18336.97,2599.92,12.42
3232,LAXMI NARAYAN HOSPITAL,MAHENDERGARH,Jaipur,Rajasthan,0,N,N,123029,8259,10134.02,7602.67,2531.35,24.98
399,MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED,JAIPUR,Jaipur,Rajasthan,1,N,N,302013,167341,36742.69,34331.32,2411.36,6.56
78,LIVASA HOSP(A UNIT OF IVY HEALTHCARE INFRA PVT LTD,MOHALI,Chandimandir,Chandigarh,1,N,N,160071,109092,36075.40,33670.23,2405.17,6.67
401,REGENCY HOSPITAL LTD- KANPUR,KANPUR,Lucknow,Uttar Pradesh,1,N,N,208005,80815,15236.89,12850.62,2386.27,15.66
183,MEDANTA THE MEDICITY - GURGAON,GURUGRAM,Delhi,Delhi,1,Y,Y,122001,229963,40287.03,37981.00,2306.03,5.72
519,EMC Super Speciality Hospital Pvt. Ltd.,Amritsar,Jalandhar,Punjab,1,N,N,143001,16566,23537.79,21305.69,2232.11,9.48
1585,YATHARTH WELLNESS SUPER SPECIALITY HOSPITAL & HEART CENTRE,NOIDA,Delhi 2,Delhi,1,N,N,201301,14070,8211.65,6283.77,1927.88,23.48
169,SRI GURU HARKRISHNA SAHIB (C) EYE HOSPITAL TRUST - SOHANA,MOHALI,Chandimandir,Chandigarh,2,N,N,140308,172895,47722.87,45818.90,1903.96,3.99
274,METRO HEART INSTITUTE - FARIDABAD,FARIDABAD,Delhi,Delhi,1,Y,Y,121007,39091,18290.90,16409.17,1881.73,10.29
2348,INDUS INTERNATIONAL HOSPITAL,MOHALI,Chandimandir,Chandigarh,1,N,N,140507,35128,20008.78,18135.05,1873.73,9.36
1324,PUSHPANJALI HOSPITAL & RESEARCH CENTRE PVT LTD,AGRA,Bareilly,Uttar Pradesh,1,N,N,282002,50120,15107.29,13239.24,1868.05,12.37
1974,FELIX HOSPITAL - NOIDA,NOIDA,Delhi 2,Delhi,1,N,Y,201305,6400,8606.87,6747.48,1859.39,21.60
2844,SINGHANIA UNIVERSITY HOSPITAL AND RESEARCH CENTRE,JHUNJHUNU,Jaipur,Rajasthan,1,N,N,333515,3449,5344.78,3701.91,1642.87,30.74
62,RLKC HOSPITAL METRO HEART INSTITUTE - NARAIMA ROAD,NEW DELHI,Delhi,Delhi,1,Y,Y,110008,2720,6067.30,4428.33,1638.97,27.01
2925,KAINOS HOSPITAL (A UNIT OF UBUNTU HEALTH SOLUTIONS PVT LTD),ROHTAK,Hisar,Haryana,1,N,N,124021,27134,14099.25,12541.36,1557.90,11.05
2192,IVY HEALTHCARE INFRASTRUCTURE PRIVATE LIMITED,AMRITSAR,Jalandhar,Punjab,1,N,N,143001,13617,13312.01,11790.36,1521.65,11.43
17,ARTEMIS MEDICARE SERVICES LIMITED - GURGAON,GURUGRAM,Delhi,Delhi,1,Y,Y,122001,175309,31396.61,29904.52,1492.09,4.75
3551,ADVANTA SUPERSPECIALITY HOSPITAL (UNIT PMR HEALTHC,ROHTAK,Hisar,Haryana,,N,N,124001,6361,10891.22,9419.21,1472.00,13.52
60,PARK HOSPITAL - CHOWKHANDI,NEW DELHI,Delhi,Delhi,1,Y,Y,110018,5190,8809.90,7464.75,1345.15,15.27
1564,ABROL MEDICAL CENTRE (GURDASPUR),GURDASPUR,Jalandhar,Punjab,1,N,N,143521,15587,21696.98,20365.68,1331.29,6.14
2329,PARK HOSPITAL (A UNIT OF DMR HOSPITALS PVT LTD),KARNAL,Ambala,Punjab,1,N,N,130266,8186,7713.48,6394.40,1319.08,17.10
1505,METRO M A S HEARTCARE & MULTISPECIALITY HOSPITAL,JAIPUR,Jaipur,Rajasthan,1,N,N,302020,6491,5004.09,3691.74,1312.35,26.23
2127,PARK HOSPITAL (A UNIT OF PARK MEDICITY INDIA PVT LTD),PANIPAT,Ambala,Punjab,1,N,N,132103,10322,9247.52,7992.57,1254.94,13.57
2443,VENKATESHWAR HOSPITAL - DWARKA,NEW DELHI,Delhi,Delhi,1,N,N,110075,112090,20953.61,19718.56,1235.05,5.89
