gender,relationship,total_claims,total_claimed_cr,total_approved_cr,total_deducted_cr,deduction_pct
M,Self,9084002,17083.07,15379.03,1704.05,9.98
F,Spouse,7844747,13106.80,11838.03,1268.77,9.68
F,Mother,836722,2246.15,2019.65,226.50,10.08
M,Father,619381,1894.80,1705.86,188.95,9.97
M,Son,613006,691.81,613.95,77.86,11.25
F,Wife,103481,337.19,284.62,52.57,15.59
F,Daughter,546786,498.16,446.62,51.53,10.35
M,Spouse,119467,247.77,222.51,25.26,10.19
F,Self,55774,105.93,94.56,11.37,10.74
M,Mother,7413,21.40,19.28,2.12,9.91
F,Father,2818,9.80,8.92,0.88,9.01
M,Wife,1188,3.85,3.13,0.73,18.82
F,Son,2854,3.95,3.50,0.45,11.32
M,Daughter,2775,2.95,2.66,0.29,9.83
F,Sister,2387,2.70,2.43,0.27,9.86
M,Husband,105,0.70,0.46,0.24,34.19
O,Spouse,1200,1.83,1.67,0.16,8.72
M,Others,17,0.24,0.14,0.09,39.42
F,Daughters-Daughter,328,0.42,0.38,0.05,10.77
O,Mother,144,0.39,0.34,0.05,12.84
F,Husband,66,0.29,0.23,0.05,18.85
M,Daughters-Son,295,0.22,0.17,0.04,19.79
M,Brother,172,0.29,0.25,0.04,14.49
M,Daughters-Daughter,24,0.19,0.16,0.03,17.50
O,Son,60,0.15,0.13,0.02,13.83
F,Daughters-Son,37,0.08,0.07,0.01,14.46
F,Others,16,0.08,0.08,0.01,9.85
O,Daughter,76,0.16,0.15,0.01,4.65
,Self,1,0.00,0.00,0.00,4.12
O,Father,11,0.03,0.03,0.00,1.82
M,Sister,24,0.02,0.02,0.00,9.99
M,,1,0.00,0.00,0.00,0.00
F,Brother,6,0.02,0.02,0.00,5.00
