hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
VIJAY HOSPITAL [3149],0,N,21815,44020.04,29054.18,14965.86,34.00
PARK HOSPITAL (A UNIT OF PARK MEDICENTRES & INSTITUTIONS PVT LTD) - GURGAON [367],1,N,65942,40624.21,33052.56,7571.66,18.64
HEALING TOUCH SUPER SPECIALITY HOSPITAL [1219],1,N,42660,42656.49,36005.04,6651.45,15.59
PARK HOSPITAL(UNIT OF KAILASH SUPERSPECIALITY HOSP [1161],1,N,31557,15828.02,11160.03,4667.99,29.49
VIRAT HOSPITAL [2856],1,N,20383,15264.54,10662.62,4601.91,30.15
YATHARTH WELLNESS HOSPITAL & TRAUMA CENTRE [1454],1,N,101730,16762.95,12604.20,4158.75,24.81
METRO HOSPITAL & HEART INSTITUTE - NOIDA [1042],1,Y,32477,20589.09,16761.45,3827.63,18.59
PARK HOSPITAL (A UNIT OF UMKAL HEALTHCARE PVT LTD) [514],1,Y,33098,25503.08,21986.56,3516.52,13.79
STAR HOSPITAL (A UNIT OF OM MEDICENTRE PVT LTD) [2694],1,N,4759,9489.09,6515.07,2974.02,31.34
THE SIGNATURE HOSPITAL (A UNIT OF PARK MEDICITY [2766],1,N,22800,20604.42,17802.34,2802.08,13.60
PRATAP HOSPITAL [3980],,N,5503,9379.01,6580.21,2798.80,29.84
Madhuraj Hospital (P) Ltd - Kanpur [292],1,N,7846,7845.75,5067.08,2778.67,35.42
PARK HOSPITAL - FARIDABAD [1373],1,N,11163,20936.89,18336.97,2599.92,12.42
LAXMI NARAYAN HOSPITAL [3232],0,N,8259,10134.02,7602.67,2531.35,24.98
MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED [399],1,N,167341,36742.69,34331.32,2411.36,6.56
LIVASA HOSP(A UNIT OF IVY HEALTHCARE INFRA PVT LTD [78],1,N,109092,36075.40,33670.23,2405.17,6.67
REGENCY HOSPITAL LTD- KANPUR [401],1,N,80815,15236.89,12850.62,2386.27,15.66
MEDANTA THE MEDICITY - GURGAON [183],1,Y,229963,40287.03,37981.00,2306.03,5.72
EMC Super Speciality Hospital Pvt. Ltd. [519],1,N,16566,23537.79,21305.69,2232.11,9.48
YATHARTH WELLNESS SUPER SPECIALITY HOSPITAL & HEART CENTRE [1585],1,N,14070,8211.65,6283.77,1927.88,23.48
SRI GURU HARKRISHNA SAHIB (C) EYE HOSPITAL TRUST - SOHANA [169],2,N,172895,47722.87,45818.90,1903.96,3.99
METRO HEART INSTITUTE - FARIDABAD [274],1,Y,39091,18290.90,16409.17,1881.73,10.29
INDUS INTERNATIONAL HOSPITAL [2348],1,N,35128,20008.78,18135.05,1873.73,9.36
PUSHPANJALI HOSPITAL & RESEARCH CENTRE PVT LTD [1324],1,N,50120,15107.29,13239.24,1868.05,12.37
FELIX HOSPITAL - NOIDA [1974],1,N,6400,8606.87,6747.48,1859.39,21.60
SINGHANIA UNIVERSITY HOSPITAL AND RESEARCH CENTRE [2844],1,N,3449,5344.78,3701.91,1642.87,30.74
RLKC HOSPITAL METRO HEART INSTITUTE - NARAIMA ROAD [62],1,Y,2720,6067.30,4428.33,1638.97,27.01
KAINOS HOSPITAL (A UNIT OF UBUNTU HEALTH SOLUTIONS PVT LTD) [2925],1,N,27134,14099.25,12541.36,1557.90,11.05
IVY HEALTHCARE INFRASTRUCTURE PRIVATE LIMITED [2192],1,N,13617,13312.01,11790.36,1521.65,11.43
ARTEMIS MEDICARE SERVICES LIMITED - GURGAON [17],1,Y,175309,31396.61,29904.52,1492.09,4.75
ADVANTA SUPERSPECIALITY HOSPITAL (UNIT PMR HEALTHC [3551],,N,6361,10891.22,9419.21,1472.00,13.52
PARK HOSPITAL - CHOWKHANDI [60],1,Y,5190,8809.90,7464.75,1345.15,15.27
ABROL MEDICAL CENTRE (GURDASPUR) [1564],1,N,15587,21696.98,20365.68,1331.29,6.14
PARK HOSPITAL (A UNIT OF DMR HOSPITALS PVT LTD) [2329],1,N,8186,7713.48,6394.40,1319.08,17.10
METRO M A S HEARTCARE & MULTISPECIALITY HOSPITAL [1505],1,N,6491,5004.09,3691.74,1312.35,26.23
PARK HOSPITAL (A UNIT OF PARK MEDICITY INDIA PVT LTD) [2127],1,N,10322,9247.52,7992.57,1254.94,13.57
VENKATESHWAR HOSPITAL - DWARKA [2443],1,N,112090,20953.61,19718.56,1235.05,5.89
THE CORPORATE HOSPITAL [2182],1,N,7441,14159.46,12956.64,1202.82,8.49
KLES DR. PRABHAKAR KORE HOSPITAL & MRC [1434],1,N,36419,8076.24,6874.08,1202.16,14.89
METRO HOSPITAL & CANCER INSTITUTE - PREET VIHAR [1089],1,Y,9571,7202.65,6008.82,1193.83,16.57
INDUS SUPER SPECIALITY HOSPITAL - MOHALI [74],1,N,28539,15095.83,13949.59,1146.24,7.59
MANN MULTISPECIALITY HOSPITAL (A UNIT OF [1541],1,N,8668,7492.04,6373.23,1118.80,14.93
M R MEMORIAL NAVJEEVAN HOSPITAL - ROHTAK [2178],1,N,9302,10031.08,8941.44,1089.63,10.86
YATHARTH SUPER SPECIALITY HOSPITAL (A UNIT OF AKS MEDICAL AND RESEARCH CENTRE PVT LTD) [3625],,N,12473,6130.40,5044.61,1085.78,17.71
JAYPEE HEALTHCARE LIMITED - NOIDA [1920],1,N,108074,15096.53,14012.72,1083.81,7.18
Pune [5059],M,N,14647,3423.88,2348.88,1075.00,31.40
HUMAN CARE MEDICAL CHARITABLE TRUST [2826],1,N,84776,14401.98,13334.37,1067.61,7.41
Krishna Super Speciality Hospital (A Unit of Gita HealthCare (P) Ltd)-Kanpur [374],1,N,8238,4538.70,3481.43,1057.26,23.29
SHRI BABA YOGI NETANATH HOSPITAL & RESEARCH CENTRE [1212],1,N,5333,6116.40,5070.75,1045.64,17.10
Pokhara [5471],N,N,27109,4773.01,3744.62,1028.39,21.55
Fortis Hospital - Mohali [34],1,Y,174544,37012.61,36002.78,1009.83,2.73
METRO HOSPITAL & HEART INSTITUTE - HARIDWAR [1676],1,N,3402,3658.07,2652.06,1006.01,27.50
Secunderabad Main [5029],M,N,44838,3054.49,2049.23,1005.26,32.91
FORTIS HOSPITAL - LUDHIANA [1553],1,Y,109070,23122.57,22120.21,1002.35,4.33
