region_id,region_name,num_hospitals,total_claims,total_claimed_cr,total_approved_cr,total_deducted_cr,deduction_pct
8,JAIPUR,261,1321549,3192.92,2647.36,545.56,17.09
1,NEW DELHI,392,2362788,5034.50,4576.22,458.29,9.10
29,Region 29,325,1847943,2942.95,2603.02,339.92,11.55
27,Region 27,208,1007338,2677.03,2381.22,295.81,11.05
9,PUNE,229,900746,3990.77,3725.56,265.20,6.65
4,BANGALORE,160,1321761,3496.72,3294.65,202.07,5.78
24,Region 24,196,627355,1910.18,1732.91,177.28,9.28
6,CHENNAI,110,259235,783.03,632.47,150.56,19.23
3,KOLKATA,211,644364,984.26,847.63,136.63,13.88
30,Region 30,157,876537,1309.81,1188.77,121.04,9.24
17,Region 17,139,620357,816.45,729.70,86.75,10.63
2,MUMBAI,104,1854159,1149.20,1065.70,83.50,7.27
7,DEHRADUN,123,1351496,1202.53,1119.22,83.30,6.93
5,HYDERABAD,129,504364,676.12,593.67,82.45,12.19
13,AHMEDABAD,76,233901,368.62,303.21,65.42,17.75
10,CHANDIGARH,76,245419,552.73,497.33,55.41,10.02
25,Region 25,81,290662,373.56,318.53,55.04,14.73
15,Region 15,84,452411,663.19,609.77,53.42,8.05
18,Region 18,138,292164,362.05,320.37,41.69,11.51
28,Region 28,79,308037,573.43,532.27,41.17,7.18
19,Region 19,121,356456,467.64,428.76,38.88,8.31
32,Region 32,30,285322,363.84,328.19,35.65,9.80
12,PATNA,108,324232,645.45,610.13,35.32,5.47
21,Region 21,71,332227,413.82,380.68,33.14,8.01
26,Region 26,63,229166,247.57,218.88,28.69,11.59
33,Region 33,51,343079,305.56,283.95,21.60,7.07
16,Region 16,70,102454,157.87,139.42,18.45,11.69
14,Region 14,51,163899,182.40,165.85,16.55,9.08
20,Region 20,65,63418,114.24,99.23,15.01,13.14
31,Region 31,34,210025,173.22,158.49,14.73,8.51
11,ALLAHABAD,58,112520,129.76,115.88,13.88,10.69
