doctor_name,admission_day,distinct_hospitals_same_day,total_patients_admitted
ECHS,2022-12-22,17,67
ECHS,2024-07-18,16,90
ECHS,2024-07-22,16,101
ECHS,2024-07-29,16,107
ECHS,2024-11-21,16,150
ECHS,2025-02-14,16,151
echs,2022-09-16,15,48
ECHS,2022-09-28,15,66
ECHS,2022-11-07,15,121
ECHS,2023-03-23,15,81
ECHS,2024-06-08,15,113
ECHS,2024-07-31,15,67
ECHS,2024-08-13,15,99
ECHS,2024-08-29,15,93
ECHS,2024-08-30,15,115
ECHS,2024-09-04,15,115
ECHS,2024-09-13,15,112
ECHS,2024-10-22,15,142
ECHS,2024-11-04,15,177
ECHS,2025-03-26,15,113
echs,2022-08-17,14,44
ECHS,2022-09-14,14,44
ECHS,2022-09-29,14,59
ECHS,2022-10-13,14,62
ECHS,2022-10-14,14,53
echs,2022-10-26,14,47
ECHS,2022-11-23,14,89
echs,2022-11-24,14,83
ECHS,2022-12-03,14,86
ECHS,2022-12-14,14,88
ECHS,2023-02-21,14,66
ECHS,2023-03-13,14,86
ECHS,2023-03-14,14,85
ECHS,2023-04-13,14,70
ECHS,2023-05-15,14,104
ECHS,2023-06-09,14,84
ECHS,2024-06-13,14,101
ECHS,2024-06-14,14,73
ECHS,2024-06-29,14,99
ECHS,2024-07-17,14,77
ECHS,2024-07-23,14,93
ECHS,2024-07-24,14,91
ECHS,2024-07-25,14,78
ECHS,2024-08-01,14,64
ECHS,2024-08-09,14,85
ECHS,2024-09-05,14,114
ECHS,2024-09-11,14,104
ECHS,2024-09-20,14,105
ECHS,2024-10-10,14,79
ECHS,2024-11-11,14,158
ECHS,2024-11-23,14,133
ECHS,2024-11-27,14,159
ECHS,2024-11-28,14,141
ECHS,2024-12-04,14,180
ECHS,2024-12-05,14,142
ECHS,2024-12-20,14,143
ECHS,2025-02-04,14,121
ECHS,2025-02-10,14,127
ECHS,2025-02-24,14,122
ECHS,2025-03-03,14,132
echs,2022-07-14,13,36
echs,2022-08-06,13,41
echs,2022-08-23,13,42
ECHS,2022-08-26,13,35
echs,2022-08-27,13,49
echs,2022-09-05,13,43
ECHS,2022-09-13,13,56
ECHS,2022-09-20,13,58
ECHS,2022-10-10,13,51
ECHS,2022-10-17,13,63
ECHS,2022-10-18,13,74
ECHS,2022-10-28,13,100
ECHS,2022-10-29,13,82
echs,2022-11-11,13,98
ECHS,2022-11-14,13,121
ECHS,2022-11-15,13,125
ECHS,2022-11-19,13,72
ECHS,2022-12-02,13,93
ECHS,2022-12-06,13,102
ECHS,2022-12-07,13,100
ECHS,2022-12-10,13,85
ECHS,2022-12-16,13,68
ECHS,2022-12-17,13,71
ECHS,2022-12-20,13,65
ECHS,2022-12-24,13,87
echs,2023-01-04,13,70
ECHS,2023-02-03,13,59
ECHS,2023-02-11,13,70
ECHS,2023-02-25,13,76
ECHS,2023-03-20,13,64
ECHS,2023-04-08,13,68
ECHS,2023-05-01,13,64
ECHS,2023-05-16,13,103
ECHS,2023-06-26,13,70
ECHS,2023-11-16,13,76
ECHS,2024-05-10,13,85
ECHS,2024-05-11,13,97
ECHS,2024-05-15,13,98
ECHS,2024-05-16,13,89
ECHS,2024-05-17,13,97
